AC-No.;No.;Name;Time;State;New State;Exception;Operation
10;;10;12/15/2016 5:10 PM;C/Out;;Invalid;
10;;10;12/28/2016 7:52 PM;C/Out;;Invalid;
12;;12;12/1/2016 8:54 AM;C/In;OverTime In;FOT;
12;;12;12/1/2016 5:09 PM;C/Out;OverTime Out;FOT;
12;;12;12/1/2016 5:09 PM;C/Out;;Invalid;
12;;12;12/4/2016 9:11 AM;C/In;OverTime In;FOT;
12;;12;12/4/2016 6:51 PM;C/Out;OverTime Out;FOT;
12;;12;12/5/2016 9:44 AM;C/In;OverTime In;FOT;
12;;12;12/5/2016 6:01 PM;C/Out;OverTime Out;FOT;
12;;12;12/5/2016 6:02 PM;C/Out;;Invalid;
12;;12;12/6/2016 9:20 AM;C/In;OverTime In;FOT;
12;;12;12/6/2016 5:47 PM;C/Out;OverTime Out;FOT;
12;;12;12/7/2016 9:27 AM;C/In;OverTime In;FOT;
12;;12;12/7/2016 5:31 PM;C/Out;OverTime Out;FOT;
12;;12;12/8/2016 8:58 AM;C/In;OverTime In;FOT;
12;;12;12/8/2016 5:44 PM;C/Out;OverTime Out;FOT;
12;;12;12/11/2016 8:46 AM;C/In;OverTime In;FOT;
12;;12;12/11/2016 7:14 PM;C/Out;OverTime Out;FOT;
12;;12;12/12/2016 9:23 AM;C/In;OverTime In;FOT;
12;;12;12/12/2016 6:49 PM;C/Out;OverTime Out;FOT;
12;;12;12/13/2016 12:36 PM;C/In;OverTime In;FOT;
12;;12;12/13/2016 6:53 PM;C/Out;OverTime Out;FOT;
12;;12;12/14/2016 9:51 AM;C/In;OverTime In;FOT;
12;;12;12/14/2016 6:15 PM;C/Out;OverTime Out;FOT;
12;;12;12/15/2016 9:17 AM;C/In;OverTime In;FOT;
12;;12;12/15/2016 7:20 PM;C/Out;OverTime Out;FOT;
12;;12;12/18/2016 9:37 AM;C/In;OverTime In;FOT;
12;;12;12/18/2016 7:00 PM;C/Out;OverTime Out;FOT;
12;;12;12/19/2016 9:12 AM;C/In;OverTime In;FOT;
12;;12;12/19/2016 5:44 PM;C/Out;OverTime Out;FOT;
12;;12;12/20/2016 9:36 AM;C/In;OverTime In;FOT;
12;;12;12/20/2016 6:24 PM;C/Out;OverTime Out;FOT;
12;;12;12/21/2016 9:39 AM;C/In;OverTime In;FOT;
12;;12;12/21/2016 5:55 PM;C/Out;OverTime Out;FOT;
12;;12;12/22/2016 9:41 AM;C/In;OverTime In;FOT;
12;;12;12/22/2016 7:11 PM;C/Out;OverTime Out;FOT;
12;;12;12/25/2016 9:03 AM;C/In;OverTime In;FOT;
12;;12;12/25/2016 6:56 PM;C/Out;OverTime Out;FOT;
12;;12;12/26/2016 9:22 AM;C/In;OverTime In;FOT;
12;;12;12/26/2016 6:45 PM;C/Out;OverTime Out;FOT;
12;;12;12/27/2016 9:19 AM;C/In;OverTime In;FOT;
12;;12;12/27/2016 5:21 PM;C/Out;OverTime Out;FOT;
12;;12;12/28/2016 9:55 AM;C/In;OverTime In;FOT;
12;;12;12/28/2016 5:14 PM;C/Out;OverTime Out;FOT;
12;;12;12/29/2016 9:20 AM;C/In;OverTime In;FOT;
12;;12;12/29/2016 6:34 PM;C/Out;OverTime Out;FOT;
13;;13;12/1/2016 9:26 AM;C/In;OverTime In;FOT;
13;;13;12/1/2016 4:56 PM;C/Out;OverTime Out;FOT;
13;;13;12/4/2016 9:16 AM;C/In;OverTime In;FOT;
13;;13;12/4/2016 5:21 PM;C/Out;OverTime Out;FOT;
13;;13;12/5/2016 9:24 AM;C/In;OverTime In;FOT;
13;;13;12/5/2016 5:13 PM;C/Out;OverTime Out;FOT;
13;;13;12/6/2016 9:14 AM;C/In;OverTime In;FOT;
13;;13;12/6/2016 5:11 PM;C/Out;OverTime Out;FOT;
13;;13;12/7/2016 9:28 AM;C/In;OverTime In;FOT;
13;;13;12/7/2016 5:08 PM;C/Out;OverTime Out;FOT;
13;;13;12/8/2016 9:08 AM;C/In;OverTime In;FOT;
13;;13;12/8/2016 4:59 PM;C/Out;OverTime Out;FOT;
13;;13;12/13/2016 8:59 AM;C/In;OverTime In;FOT;
13;;13;12/13/2016 5:14 PM;C/Out;OverTime Out;FOT;
13;;13;12/14/2016 9:22 AM;C/In;OverTime In;FOT;
13;;13;12/14/2016 5:09 PM;C/Out;OverTime Out;FOT;
13;;13;12/15/2016 9:09 AM;C/In;OverTime In;FOT;
13;;13;12/15/2016 4:46 PM;C/Out;OverTime Out;FOT;
13;;13;12/18/2016 9:10 AM;C/In;OverTime In;FOT;
13;;13;12/18/2016 5:13 PM;C/Out;OverTime Out;FOT;
13;;13;12/19/2016 9:06 AM;C/In;OverTime In;FOT;
13;;13;12/19/2016 5:16 PM;C/Out;OverTime Out;FOT;
13;;13;12/20/2016 9:40 AM;C/In;OverTime In;FOT;
