AC-No.;No.;Name;Time;State;New State;Exception;Operation;;;;;;;;;
10;;10;12/22/2015 3:43 PM;C/In;;Repeat;;;;;;;;;;
10;;10;12/22/2015 3:44 PM;C/In;;Invalid;;;;;;;;;;
10;;10;12/29/2015 6:59 PM;C/Out;;Repeat;;;;;;;;;;
10;;10;12/29/2015 6:59 PM;C/Out;;Invalid;;;;;;;;;;
12;;12;12/1/2015 9:02 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/1/2015 5:22 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/2/2015 9:37 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/2/2015 6:08 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/3/2015 9:20 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/3/2015 6:26 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/6/2015 8:53 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/6/2015 6:38 PM;C/In;OverTime Out;FOT;;;;;;;;;;
12;;12;12/6/2015 6:38 PM;C/Out;;Invalid;;;;;;;;;;
12;;12;12/7/2015 9:29 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/7/2015 5:58 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/8/2015 9:32 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/8/2015 6:06 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/9/2015 9:21 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/9/2015 5:34 PM;C/In;OverTime Out;FOT;;;;;;;;;;
12;;12;12/9/2015 5:34 PM;C/Out;;Invalid;;;;;;;;;;
12;;12;12/10/2015 9:15 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/10/2015 6:20 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/13/2015 10:13 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/13/2015 5:35 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/14/2015 9:11 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/14/2015 6:08 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/15/2015 9:17 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/15/2015 6:18 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/16/2015 9:12 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/16/2015 6:20 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/17/2015 9:21 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/17/2015 6:13 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/20/2015 9:57 AM;C/In;OverTime In;FOT;;;;;;;;;;
12;;12;12/20/2015 6:13 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
12;;12;12/21/2015 9:09 AM;C/In;OverTime In;FOT;;;;;;;;;;
